Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,42.650002,42.790001,42.615002,42.615002,41.214169,3500
2020-05-22,42.564999,42.700001,42.478001,42.700001,41.296375,3500
2020-05-26,43.580002,43.610001,43.229000,43.229000,41.807980,9100
2020-05-27,43.669998,43.855000,42.900002,43.840000,42.398903,10100
2020-05-28,44.099998,44.389999,43.820000,43.848999,42.407600,12100
2020-05-29,43.820000,44.060001,43.480000,44.060001,42.611668,9300
2020-06-01,44.070000,44.360001,44.070000,44.261002,42.806072,7700
2020-06-02,44.330002,44.560001,44.230000,44.529999,43.066219,7100
2020-06-03,45.080002,45.310001,44.919998,45.220001,43.733532,13300
2020-06-04,45.049999,45.299999,44.820000,45.040001,43.559452,13300
2020-06-05,46.099998,46.360001,45.862000,46.150002,44.632969,12900
2020-06-08,46.400002,46.696999,46.272999,46.696999,45.161983,9100
2020-06-09,46.500000,46.584000,46.330002,46.458000,44.930840,4600
2020-06-10,46.200001,46.750000,46.075001,46.298000,44.776096,7300
2020-06-11,45.270000,45.270000,43.549999,43.590000,42.157120,8400
2020-06-12,44.615002,44.615002,43.230000,44.160000,42.708378,27600
2020-06-15,43.259998,44.630001,43.259998,44.529999,43.066219,6400
2020-06-16,45.959999,45.959999,44.724998,45.369999,43.878601,17000
2020-06-17,45.720001,45.720001,45.167999,45.195999,43.710327,4500
2020-06-18,44.990002,45.240002,44.919998,45.240002,43.752884,12200
2020-06-19,45.650002,45.650002,44.860001,44.994999,43.515926,5000
2020-06-22,45.310001,45.349998,45.014999,45.250000,43.762543,45100
2020-06-23,45.669998,45.889999,45.560001,45.560001,44.062366,24200
2020-06-24,44.810001,44.810001,44.044998,44.215000,42.761574,10200
2020-06-25,44.209999,44.650002,44.115002,44.646999,43.179367,5800
2020-06-26,44.509998,44.509998,43.639000,43.639000,42.204506,11300
2020-06-29,43.830002,44.150002,43.790001,44.111000,42.660988,3100
2020-06-30,44.240002,44.900002,44.240002,44.900002,43.424057,7900
2020-07-01,45.070000,45.316002,45.069000,45.195000,43.709351,13400
2020-07-02,45.840000,45.840000,45.323002,45.330002,43.839920,2900
2020-07-06,46.000000,46.169998,45.955002,46.118000,44.602013,8700
2020-07-07,46.000000,46.250000,45.655998,45.655998,44.155193,6200
2020-07-08,46.049999,46.099998,45.709999,46.048000,44.534317,5300
2020-07-09,46.209999,46.209999,45.397999,45.845001,44.337990,12600
2020-07-10,46.040001,46.341000,45.845001,46.341000,44.817684,9000
2020-07-13,46.669998,46.987999,45.779999,45.779999,44.275124,5200
2020-07-14,45.560001,46.445000,45.505001,46.445000,44.918266,6500
2020-07-15,47.110001,47.110001,46.490002,46.860001,45.319626,18900
2020-07-16,46.650002,46.669998,46.493999,46.669998,45.135864,3300
2020-07-17,46.676998,46.805000,46.650002,46.768002,45.230652,2500
2020-07-20,46.930000,47.330002,46.730000,47.216999,45.664890,6500
2020-07-21,47.750000,47.750000,47.243999,47.243999,45.690998,5200
2020-07-22,47.410000,47.580002,47.250000,47.549999,45.986946,51500
2020-07-23,47.480000,47.564999,46.779999,46.874001,45.333164,7100
2020-07-24,46.549999,46.810001,46.430000,46.595001,45.063335,13000
2020-07-27,46.849998,47.028000,46.820000,46.993999,45.449219,3200
2020-07-28,46.919998,47.018002,46.640999,46.640999,45.107830,3500
2020-07-29,46.980000,47.196999,46.980000,47.196999,45.645554,3200
2020-07-30,46.970001,47.119999,46.660000,47.051998,45.505306,3100
2020-07-31,47.490002,47.490002,46.884998,47.361000,45.804157,4200
2020-08-03,47.709999,47.939999,47.709999,47.816002,46.244202,10600
